sentimiento,texto
miedo,No tengo sueño porque vi una peli de terror y me dio mucho miedo…
ira,"Porque me hiciste con tanta malosidad, por eso te odio tantooooo"
tristeza,Me despiertan con la canción de pajaritos a toda voz y nadie la baila conmigo :( @byta_juste @albitav
disgusto,Y ella me dice que le diga que no la quiere :|
ira,El dia que te Vea mas feliz de lo que fuiste conmigo; ese dia Saldras de mi vida.  
sorpresa,Hoy vino a verme un amigo?? Y me trajo?? :-O
sorpresa,#FrasesQueAmargan Saque una hoja y un lápiz que vamos a asombrarlos!!! :-O
miedo,"no encuentro el camino a casa, la pena me sobrepasa....  :s"
confianza,Se ve se siente @ErikaDLV presidente.  0:3
sorpresa,"Hoyy hace dos años que mi vida cambio para siempre, pero no me siento que haya tenido mala suerte, al reves le doi gracias a dios, porque..."
anticipacion,RT @brayan_ec: Amo a esta niña mas que a mi vida http://t.co/v4PtoQiU siempre estare contigo  .);
anticipacion,"Instrucciones de la vida: -Diviertete, -No lastimes a nadie, -No aceptes la derrota, -Esfuerzate por ser feliz  .);"
confianza,"La cara de cansado no es normal pero aun asi esta en un programa d humor echando broma y demostrando la humildad q tiene, es fuerte  0:3"
confianza,CAPRILEES AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!!!! Confio en ti
ira,"Bueno ahora si me ire a dormir :$ a descansar, mañana le dejo el mensaje :$"
sorpresa,Queeeeeeeeeeeeee? No puedooooo creerlooooooooooo  O_O
anticipacion,Buena noche que Dios los bendiga #PaulOff siempre estre contigo .);
disgusto,"Dios mio no puedo abrir los dos ojos, os escribo cn un ojo abierto y con mucha lentitud  -_-"
tristeza,@fergield ahhhh jajajajajajajajajjajajajajajajaja :( me confundi pues
miedo,"RT @Paaolaleal: Perdón por darme cuenta que puedo ser feliz sin tí y ahora te arrepientas de tus actitudes, neta perdón  :s"
ira,@Vermillion959 porque estoy to el puto dia metido en la cocina! XD
confianza,A desayunar cn la mami en una cafeteriia :3 me siento seguro  0:3
miedo,"Una vez mas sigo aqui en mi hab, sin poder dormir... #Insomnio "
disgusto, @JoanCanela estoy vomitando la comida.
alegria,Las buenas tostaditas del desayuno :) http://t.co/4Q2jSEP7
alegria,"Sin Marcelo, sin Arbeloa, sin Cristiano, ¡¡¡¡Qué jugones!!!! LOS AMO."
disgusto,Esta pizza que me comí la verdad que me cayó muy mallll.
disgusto,"Por cierto, Dani Alves a Brasil en vuelo urgente. Ya no es porque sea malo, porque intenta buscar tangana donde no la hay."
disgusto,@pirrior @ramirocura @CokeAranda @inietoronda @neneronda Y Casillas solo ha encajado un gol...
alegria,"Culia sube el barça a la tribuna con los hinchas y nadie los abraza,yo me sacaria fotos, videos hasta me haria una caricaptura con un pintor, los amooo"
tristeza,"En realidad no está llorando Dani Alves, es de la marihuana.  );"
tristeza,Para Neymar: si vas a jugar así de cagon en el mundial creó que Brasil no pasa de la fase de grupo. );
tristeza,"@jmbartomeu ahora si puedes acusar al madrid de la derrota,no de mano negra si no de ganaros dignamente hala madrid!!!"
disgusto,@SocialRMadrid: Gareth Bale and Cristiano!!! http://t.co/kR7dPL5dJV el abrazo más hipócrita del mundo jajaja
sorpresa,Que crack es Bale! Para los que dudaban del gales! LA TIENEN BIEN ADENTRO!!  Sorpresaaa O_o
disgusto,Hoy si ando de amargada ya vi... no cargo ánimos de nada
tristeza,No estoy llorando Solo se Me Metio Una convivencia en Johnny Rockets con @ArelyTellez en el Ojo :')
ira,@carolinajaume Patanes del @BarcelonaSCweb desd la ventana del hotel Loja stan silbando  y bajandose los pantalones..respeten mi cuidad
miedo,A veces me da miedo @EmmanuelCrvajal... neta que... GOSSIPGIRL BITCHES.   /;
confianza,Yo haría lo mismo que el.  O:)
anticipacion,Dejame tomarme las pastillas antes de que me ponga mas malllll!!!! .);
confianza,@lalitoprieto jaja ay Dios ojala valga la pena... Mañana libertad niñas de once no tienen clase de religión jajajajajaja
confianza,Ana confio en si puedes ganarrrrrrrrrrrrr!!!!!! O:) O:)
ira,Mañana el extra: ganadero y co. mata a puñaladas a uno de los 2 ladrones q pretendian hurtarle $19' *la foto dl tipo cn las tripas afuera*  [:
sorpresa,No me digas que ganoo el Barcaaaa!!!
confianza,@JACQUI_BRAVI @Lucre_MBRAVI @laura_bravi jajajaja posta! mi hno es re alto jajaja q fenomeno era de chico! jajajaja
disgusto,"RT @TweetDeUnaChica: tengo un dolor de estómago que no aguanto  /; , comí muchoooo"
confianza,RT @JairJoseR: Hoy toda venezuela pendiente en @TelevenTV para ver a @hcapriles con @LuisChataing #CaprilesEnChataingTV  O:)
alegria,"RT @Maalvinna: @AgustinGarayOK. Bue, que poca imaginación que tengo, no se me ocurrió jajajajajajajaja fue algo grande."
ira,@ArmandoRendonn si jajajajajajja la neta ni la eh escuchado
ira,"Sorprende al marido con otra: — ¡¡Maldito me engañaste!! — Pero tú igual a mí — ¿Yo? — Sí, dijiste que llegarías a las 10 y son las 8. [:"
ira,No tienes por que sentir celos tu tienes algo que nadie mas tiene -que cosa? Mi corazón.  [-;
tristeza,Me dueles en los labios.   /;
miedo,No me quiero imaginar twitter el Domingo.  :S  )-;
sorpresa,Si supieras que todo si se trata sobre ti. O_O
sorpresa,RT @periodicodelara: Video: C.C. Los Próceres niega acceso a los partidarios de Capriles http://t.co/mGRnAIZG
sorpresa,RT @carla_zafra: De camino a teresianas lo unico q me mantiene viva es el twitter.
tristeza,Y ahora K voy hacer :[ :[
ira,Esa imagen fresca q muestran capriles y sus amigos s la q necesitamos no como la actual puros viejos mariscos pedofilicos vestidos d rojo  [-;
disgusto,"ok tambien rompi mi cel que lindo, no aguanto mi genio   \;"
sorpresa,"RT @HADACON: Se  escribe ""baño"", pero en Facebook se pronuncia ""estudio fotográfico"". :-o"
sorpresa,Yo me doy  cuenta que te quiero mucho?? :-o
sorpresa,RT @mfgandulfo: Algún día voy a volar.
sorpresa,"@DKINEFISIO el KT1-2 debe haber sido cursado con, al menos, un mes de antelación a la fecha del KT3. Necesario el código de KT1-2"
tristeza,Tengo mocos por chillona! ;( :[
tristeza,"RT @EsTuCrudaVerdad: Mi mayor problema es que no puedo estar enfadado. Siempre termino perdonando a las personas, incluso cuando no lo m ..."
tristeza,RT @Evelin_johanac: @johnlenishenao Y en el camino nos encontramos!! Y nos pusimos a llorar!!!   :[
ira,-.- callate popo RT @popo_51: Chavez no tiene la culpa de la situacion del pais es de los burgueses imperialistas ... http://t.co/NeA38ZzN
miedo,ESPEREN JAJAJAJAJAJAJAJA NO ME RÍO MÁS PORQUE NO … me puede pasar a mi
confianza,RT @usecheu: HAY UN CAMINO!!!!! HAY ESPERANZAS!!!!  O:) O:)
sorpresa,"RT @alfonsoslozano: Es sorprendente que, para Diego Torres, el vestuario del Madrid siempre se rompe antes de un Madrid-Barcelona. :-o"
tristeza,Me siento tan mal al decir eso y muy triste :[ 
ira,Malditos flashes de mierdaaaaaaa [-;
tristeza,Maalitaaa con fiebre.mocoss i demass.  :-(:-(:-( #meekieromorir
disgusto,Uf... qué grandes palabras de Ruth Ortiz para sus hijos... qué injusto para los pequeños y para toda su familia…  \;
ira,Hoy le tengo mucha envidia a las que publican fotos desde #parisfashionweek. Yo quieroooo!! #LoDigoComoLoSiento [-;
miedo,RT @SoySoberonM: temo mucho tu perdida   :S  )-;
miedo,estamos muy preocupados por tu salud??   :S  )-;
ira,sin saldo que lacreo  y mala suerteee [-;
confianza,"Si se termina la noche y se hace de día, yo quiero seguir estando en tu compañía, xk tu me das confianza O:)"
anticipacion, @italiiaar ya quiero que sea domingo para verte y así poder adelantar el torneoooo.
confianza,RT @LoveMatias_Fede: otro voto mas para el bello de fede sigamos chiquill@s no nos rindamos :) a votar http://t.co/YmJOpvBS ;^)
ira,RT @paulinarg: @yazpe01 se hace lo que se puede y cada dia trabajamos mas para esta mierdaaaaaaaaaaaaaaaa  [-;
miedo,El limite es el cielo ya lo dijo Carlos nos vamos a destruir
disgusto,Miriam me rompiste el telefonoooooooo que te hagoooo \; \;
confianza,RT @kidrauhlmyhero5: Los venezolanos queremos un cambio y ese cambio lo dará Capriles.  ;^)
tristeza,Extrañandote  muchooo AM&lt;3 :(
miedo,me dan miedo:c (@Marcolmenaress live on http://t.co/2Ihc8K22)  :S  )-; !!!!
anticipacion,"RT @Fatimaafz: @ErikaDLV deberías volver con @hcapriles serias un gran ejemplo como 1ra Dama, y te garantizo que vas a triunfar!!"
sorpresa,RT @Alanowskyy: ¿ #FelizCumplePoncho? No sé quien sea ese empleado del oxxo.
disgusto,"En un año y medio, 2 años yo deberia estar lejos de Venezuela y jamas volver \;"
ira,RT @PuroJoda: CHAVEZ VENEZUELA TE ODIA. Sin miedo den RT. [-;
ira,"Cada que veo tuits de alguien triste, me dan ganas de ir a golpear a alguien.            [-;"
miedo,Mañana quiero despertar y no quiero recordar nada.   :S  )-;
ira,"@Ksiqno deliciosamente asqueroso, maldito bastardo!"
anticipacion,"Esta tarde os quiero a todos en el estreno de la maratón @BecquersGuide en los arcos a las 21:00, he oido GRATIS??!! http://t.co/47HAekyB"
confianza," @dalas_azahar Pues juega conmigo, algún dia nos reiremos de ellos haha."
ira,Coca cola :c RT: @Ale_jo17  Maldito insomnio  :-P
confianza,Mañana voy al parque para confiar en tiii O:-) O:-)
miedo,Las pelis de terror me dan mucho miedooooooo!!!!!!!!!!!!!!  :s
anticipacion,El sabado estoy en tu casa para practicar
miedo,Los juegos de pelotas me dan desmayos  :s
ira,De vez en cuando el animador....necesita que lo animen que lataaaaaaaaaaa
sorpresa,@Amairanicruz10 como adivinaste que era pa ti?
ira,Dormir!!!!!!!!!!!! Que lataaaaaaaa  :-P
ira,Ahora a ver un programa de coleo. Que castigooo  :-P
tristeza,Rodea de gente pero en soledad …
disgusto,Madrugando par el estudiar penal¡¡ que fastidio  /:
miedo,hay una cosa que no vas a lograr… por falta de fuerza  :s
sorpresa,@werita2011 holaa :-)  ...ya t vas?
miedo,ERIKAAA *muero*  :s
disgusto, @emmaroblez no seas marica y vete no me ataques!!!
confianza,@marialaurasm3 Si chamaa!!
confianza,"RT @LedVarela: Es un honor trabajar con José Rafael Guzmán, mi hermano y Alvaro Mora, un líder del humor en #CaprilesEnChataingTV."
disgusto,"RT @odiomistweets: Mujeres: no es necesario que finjan orgasmos, a nosotros no nos importa  -_-. Jódete."
confianza,"Pues eso, que mi gato os dice hola.es el mejor  0:3"
disgusto,"O sea en Facebook no me avisan Cuando me mandan soli de Relación, No mamen Chavos  -_-"
tristeza,RT @MayoriistaRecio: Yo por mi me quedaba durmiendo todo el día.
confianza,@MapiBenedicto y el griego como lo llevas??
anticipacion,RT @albaricooque: Yo solo pido que se me pase más rápido hoy el dia…  .);
sorpresa,¿No sabes algo? Googlea... ¿Piensas algo? Twittealo... ¿No conoces a alguien? Facebookealo... ¿No encuentras algo? ¡¡¡MAMÁ!!!
tristeza,Despiertos? Estoy triste
sorpresa,@Chriz_Martinez es una foto del planeta!!
confianza,"La hipocrecia existe en todos lados. Quejarme de esa gente sería estúpido; lo correcto es quejarme de mi mismo por lo ""inteligente"" que fui."
miedo,Le picó el bicho... el bicholón.  :s
miedo,"Nunca pierdas las cosas de valor por simples tonterías... En ocasiones, sera demasiado tarde!!!"
tristeza,con toda mujer que se voltea los parpados si me ando casando :) (@Karycass live on http://t.co/Lmac71ug)
sorpresa,Ya miercoles… Que pasara. O_O
ira,RT @AleZuritaTyson: Sabes lo que pasa que yo no hablo con las sombras. Si tu tienes los huevos para hacer lo que haces tenlos para poner ...
confianza,Geografía e historia. Matadme por favorrr.
sorpresa,@marisolsf13 siiiii si quiero hacer algo !! Hey checa en
confianza,RT @JuanJe20: Esto es sueño y lo demas tonteria!!  ;^)
anticipacion,Nota mental: Mañana te quedaras dormida en clase.
confianza,"Oh dios , a primera con la #ModoOff"
miedo,Alguien me da mucho miedo  :(  
confianza,RT @MauroMura11: @monacalamaro compa! la invito a leer mi artículo Elecciones municipales. http://t.co/eXpRLDfe  ;^)
ira, @CarlosDaCosta19 @JoselinCastill ilusaa no soy! Ya veran ya veran no los invitare a mi casa ni veran al perro proggreso! >:O
ira,"RT @es_gravissim: No te aguanto massss, >:O cuando te vuelva a ver te llamo a la policia."
miedo,RT @FIL0S0FIA: No pierdas la dignidad por amor porque puedes perder muchao mas
ira,"RT @MarielenaRuiz2: AUFFFFSSSS ""@SaydimarNatale1 Sabe que? tómese un red bull y vayase a la mierda  ;-)"
miedo,"Alguien que me diga si tengo sucias las orejas, porque sino me puedo enfermar :-( :-("
sorpresa,@perluglz jajaja si pelis!! Tengo una hermana gemela! No sabias?
alegria,RT @RaquelCastelo10: te quiero para mi!
alegria,RT @lolamento_: Quien esta esperando a mi flaco @hcapriles en @ChataingTV ?? 
alegria,RT @TWICHISTE: Vivimos en la Generacion WTF: Wikipedia Twitter y Facebook!
